user_loc,fr_loc,scaled_sci
USA01015,MEX32,426
USA01015,MEX4,39
USA01015,MEX5,280
USA01015,MEX6,90
USA01015,MEX7,95
USA01015,MEX8,36
USA01015,MEX9,45
USA01017,ARG1,22
USA01017,ARG10,14
USA01017,ARG11,9
USA01017,ARG12,13
USA01017,ARG13,16
USA01017,ARG14,18
USA01017,ARG15,32
USA01017,ARG16,17
USA01017,ARG17,14
USA01017,ARG18,16
USA01017,ARG19,14
USA01017,ARG2,16
USA01017,ARG20,12
USA01017,ARG21,74
USA01017,ARG22,11
USA01017,ARG23,19
USA01017,ARG24,12
USA01017,ARG3,8
USA01017,ARG4,12
USA01017,ARG5,15
USA01017,ARG6,52
USA01017,ARG7,13
USA01017,ARG8,113
USA01017,ARG9,17
USA01017,MEX1,299
USA01017,MEX10,157
USA01017,MEX11,80
USA01017,MEX12,1105
USA01017,MEX13,320
USA01017,MEX14,116
USA01017,MEX15,51
USA01017,MEX16,232
USA01017,MEX17,101
USA01017,MEX18,36
USA01017,MEX19,104
USA01017,MEX2,85
USA01017,MEX20,162
USA01017,MEX21,85
USA01017,MEX22,112
USA01017,MEX23,105
USA01017,MEX24,129
USA01017,MEX25,44
USA01017,MEX26,44
USA01017,MEX27,50
USA01017,MEX28,154
USA01017,MEX29,31
USA01017,MEX3,98
USA01017,MEX30,192
USA01017,MEX31,31
USA01017,MEX32,81
USA01017,MEX4,40
USA01017,MEX5,370
USA01017,MEX6,81
USA01017,MEX7,240
USA01017,MEX8,132
USA01017,MEX9,42
USA01019,ARG1,12
USA01019,ARG10,7
USA01019,ARG11,11
USA01019,ARG12,9
USA01019,ARG13,8
USA01019,ARG14,12
USA01019,ARG15,11
USA01019,ARG16,12
USA01019,ARG17,8
USA01019,ARG18,9
USA01019,ARG19,8
USA01019,ARG2,11
USA01019,ARG20,8
USA01019,ARG21,8
USA01019,ARG22,7
USA01019,ARG23,3
USA01019,ARG24,8
USA01019,ARG3,3
USA01019,ARG4,7
USA01019,ARG5,8
USA01019,ARG6,19
USA01019,ARG7,8
USA01019,ARG8,10
USA01019,ARG9,6
USA01019,MEX1,31
USA01019,MEX10,36
USA01019,MEX11,88
USA01019,MEX12,26
USA01019,MEX13,45
USA01019,MEX14,68
USA01019,MEX15,22
USA01019,MEX16,52
USA01019,MEX17,33
USA01019,MEX18,21
USA01019,MEX19,35
USA01019,MEX2,28
USA01019,MEX20,27
USA01019,MEX21,29
USA01019,MEX22,35
USA01019,MEX23,106
USA01019,MEX24,50
USA01019,MEX25,19
USA01019,MEX26,21
USA01019,MEX27,22
USA01019,MEX28,107
USA01019,MEX29,41
USA01019,MEX3,130
USA01019,MEX30,40
USA01019,MEX31,35
USA01019,MEX32,60
USA01019,MEX4,28
USA01019,MEX5,117
USA01019,MEX6,36
USA01019,MEX7,25
USA01019,MEX8,21
USA01019,MEX9,20
USA01021,ARG1,12
USA01021,ARG10,10
USA01021,ARG11,29
USA01021,ARG12,9
USA01021,ARG13,12
USA01021,ARG14,16
USA01021,ARG15,8
USA01021,ARG16,8
USA01021,ARG17,9
USA01021,ARG18,8
USA01021,ARG19,9
USA01021,ARG2,12
USA01021,ARG20,12
USA01021,ARG21,10
USA01021,ARG22,8
USA01021,ARG23,18
USA01021,ARG24,11
USA01021,ARG3,8
USA01021,ARG4,10
USA01021,ARG5,14
USA01021,ARG6,18
USA01021,ARG7,9
USA01021,ARG8,8
USA01021,ARG9,11
USA01021,MEX1,104
USA01021,MEX10,216
USA01021,MEX11,291
USA01021,MEX12,148
USA01021,MEX13,246
USA01021,MEX14,284
USA01021,MEX15,145
USA01021,MEX16,697
USA01021,MEX17,143
USA01021,MEX18,149
USA01021,MEX19,159
USA01021,MEX2,140
USA01021,MEX20,448
USA01021,MEX21,127
USA01021,MEX22,252
USA01021,MEX23,226
USA01021,MEX24,356
USA01021,MEX25,64
USA01021,MEX26,96
USA01021,MEX27,216
USA01021,MEX28,254
USA01021,MEX29,87
USA01021,MEX3,137
USA01021,MEX30,1746
USA01021,MEX31,64
USA01021,MEX32,150
USA01021,MEX4,123
USA01021,MEX5,116
USA01021,MEX6,142
USA01021,MEX7,262
USA01021,MEX8,118
USA01021,MEX9,111
USA01023,ARG1,6
USA01023,ARG10,5
USA01023,ARG11,4
USA01023,ARG12,5
USA01023,ARG13,10
USA01023,ARG14,15
USA01023,ARG15,10
USA01023,ARG16,4
USA01023,ARG17,4
USA01023,ARG18,4
USA01023,ARG19,5
USA01023,ARG2,6
USA01023,ARG20,9
USA01023,ARG21,4
USA01023,ARG22,6
USA01023,ARG23,1
USA01023,ARG24,5
USA01023,ARG3,2
USA01023,ARG4,8
USA01023,ARG5,8
USA01023,ARG6,9
USA01023,ARG7,6
USA01023,ARG8,2
USA01023,ARG9,6
USA01023,MEX1,18
USA01023,MEX10,17
USA01023,MEX11,56
USA01023,MEX12,142
USA01023,MEX13,25
USA01023,MEX14,25
USA01023,MEX15,23
USA01023,MEX16,48
USA01023,MEX17,21
USA01023,MEX18,13
USA01023,MEX19,46
USA01023,MEX2,23
USA01023,MEX20,89
USA01023,MEX21,17
USA01023,MEX22,39
USA01023,MEX23,32
USA01023,MEX24,45
USA01023,MEX25,13
USA01023,MEX26,30
USA01023,MEX27,22
USA01023,MEX28,32
USA01023,MEX29,25
USA01023,MEX3,24
USA01023,MEX30,65
USA01023,MEX31,17
USA01023,MEX32,19
USA01023,MEX4,25
USA01023,MEX5,35
USA01023,MEX6,25
USA01023,MEX7,23
USA01023,MEX8,14
USA01023,MEX9,24
USA01025,ARG1,8
USA01025,ARG10,3
USA01025,ARG11,12
USA01025,ARG12,5
USA01025,ARG13,7
USA01025,ARG14,19
USA01025,ARG15,5
USA01025,ARG16,9
USA01025,ARG17,5
USA01025,ARG18,6
USA01025,ARG19,11
USA01025,ARG2,7
USA01025,ARG20,3
USA01025,ARG21,7
USA01025,ARG22,5
USA01025,ARG23,4
USA01025,ARG24,4
USA01025,ARG3,3
USA01025,ARG4,8
USA01025,ARG5,14
USA01025,ARG6,13
USA01025,ARG7,4
USA01025,ARG8,6
